@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
3985,'2019/09/24 11:29:43:889',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3986,'2019/09/24 11:29:43:939',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3987,'2019/09/24 11:29:43:988',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3988,'2019/09/24 11:29:44:039',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3989,'2019/09/24 11:29:44:089',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3990,'2019/09/24 11:29:44:140',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3991,'2019/09/24 11:29:44:189',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3992,'2019/09/24 11:29:44:242',44,547.245117,277.237579,62.775246,596.012817,192.808746,72.824028,563.653992,277.446106,64.362503,617.128113,255.302582,73.328537,742.758789,264.694092,73.963997,1
3993,'2019/09/24 11:29:44:293',44,548.456482,270.37439,64.209793,596.580811,184.206482,73.979904,567.341064,270.042358,66.312782,619.621948,249.006958,74.667686,734.963501,257.086975,74.872925,1
3994,'2019/09/24 11:29:44:342',44,546.878662,264.025696,64.916229,599.720215,172.890442,73.665909,567.466553,261.524567,68.215591,617.818298,244.440018,75.215515,724.686707,250.830399,75.116135,1
3995,'2019/09/24 11:29:44:393',44,545.740234,259.03299,65.134758,601.955505,168.090332,73.109535,569.826172,254.678955,70.339577,622.233826,241.913513,75.162483,713.702881,248.578018,74.067894,1
3996,'2019/09/24 11:29:44:442',44,542.053833,257.656219,63.600899,598.774231,172.637024,71.728867,574.292542,254.442642,71.81015,632.559204,245.466705,74.296349,709.952576,253.212799,71.326752,1
3997,'2019/09/24 11:29:44:493',44,539.220825,263.848328,61.438782,587.731873,184.395264,70.791199,574.749084,259.769287,72.157639,637.716614,254.731277,73.216652,709.999146,260.610474,69.574799,1
3998,'2019/09/24 11:29:44:542',44,541.187866,268.451477,60.458527,591.249756,188.358887,69.724556,577.617859,264.019714,72.484222,651.149048,259.669067,73.220016,714.085449,267.135956,68.787781,1
3999,'2019/09/24 11:29:44:593',44,542.444092,269.125,60.185822,589.541321,191.991333,69.974152,578.248901,264.957642,72.923882,655.412109,261.975769,73.374252,716.961792,268.140198,68.784782,1
