@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
166,'2019/09/24 12:26:05:530',2,540.989075,277.042419,63.396587,592.61438,267.385254,78.233154,647.28186,267.773071,79.996155,692.964233,266.439514,77.010086,733.14325,272.023621,70.973389,1
167,'2019/09/24 12:26:05:579',2,538.859619,268.519073,60.835796,591.873413,257.604675,75.985794,646.786194,257.661346,77.813461,692.772827,256.932312,74.838844,733.86792,262.503967,68.894836,1
168,'2019/09/24 12:26:05:628',2,538.374146,263.886749,58.491047,592.912537,252.447495,73.711639,648.02063,251.951752,75.512222,694.028381,251.197235,72.511093,735.337158,256.792297,66.563431,1
169,'2019/09/24 12:26:05:677',2,537.658447,256.536438,53.932835,592.559021,244.868668,69.298599,647.86438,244.262253,71.14315,694.315063,243.398956,68.18679,736.46051,249.113647,62.286488,1
170,'2019/09/24 12:26:05:727',2,536.535706,252.961426,51.073669,592.219482,241.567902,66.553604,647.659485,241.099609,68.389427,694.38147,239.481781,65.483856,736.871521,245.04068,59.591309,1
171,'2019/09/24 12:26:05:792',2,536.412109,248.885452,47.427807,593.171631,237.507965,62.8918,649.05072,237.127289,64.684692,695.942444,234.807434,61.755833,738.07019,240.305298,55.843842,1
172,'2019/09/24 12:26:05:842',2,540.379456,244.711456,41.988708,597.197266,233.218048,57.408459,653.534668,233.17157,59.173199,700.845215,230.481812,56.238472,742.120117,236.092316,50.3316,1
173,'2019/09/24 12:26:05:890',2,543.861328,243.602631,37.781132,600.678528,231.814056,53.054729,657.631348,231.938324,54.826481,705.635803,228.963043,51.86845,745.984436,234.838226,45.964043,1
174,'2019/09/24 12:26:05:942',2,547.470093,244.079498,35.245914,604.085449,233.200287,50.499512,661.397827,232.832001,52.32452,709.619629,230.054657,49.361118,749.709839,235.69455,43.472431,1
175,'2019/09/24 12:26:05:991',2,553.195801,243.831879,33.381851,609.962891,233.888092,48.682442,667.583984,233.071594,50.527599,716.025879,230.292664,47.562233,755.8396,235.665253,41.662636,1
